PATIENT_NAME,R_PEAK,P_PEAK,T_PEAK,Q_PEAK,S_PEAK
patient227/s0450_re,68555,68074,68796,68493,68622
patient227/s0450_re,70002,69522,70243,69938,70072
patient227/s0450_re,71440,70962,71680,71383,71503
patient227/s0450_re,72879,72402,73584,72810,72939
patient227/s0450_re,74296,73833,74995,74237,74379
patient227/s0450_re,75711,75244,76410,75653,75766
patient227/s0450_re,77118,76657,77817,77048,77190
patient227/s0450_re,78531,78063,78771,78476,78589
patient227/s0450_re,79954,79489,80650,79875,80014
patient227/s0450_re,81358,80898,82057,81290,81423
patient227/s0450_re,82763,82303,83457,82685,82813
patient227/s0450_re,84158,83701,84853,84086,84220
patient227/s0450_re,85557,85096,86245,85501,85630
patient227/s0450_re,86939,86490,87624,86879,87009
patient227/s0450_re,88321,87867,89005,88229,88404
patient227/s0450_re,89709,89251,90405,89625,89795
patient227/s0450_re,91110,90651,91798,91042,91194
patient227/s0450_re,92499,92044,93187,92445,92568
patient227/s0450_re,93892,93432,94591,93835,93965
patient227/s0450_re,95308,94839,95548,95256,95388
patient227/s0450_re,96748,96265,96988,96691,96836
patient227/s0450_re,98233,97729,98476,98181,98301
patient227/s0450_re,99708,99217,99948,99637,99789
patient227/s0450_re,101161,100675,101401,101108,101229
patient227/s0450_re,102614,102130,102855,102554,102678
patient227/s0450_re,104066,103582,104304,104004,104136
patient227/s0450_re,105511,105033,105750,105436,105573
patient227/s0450_re,106953,106471,107190,106884,107047
patient227/s0450_re,108400,107916,108637,108335,108481
patient227/s0450_re,109847,109359,110085,109779,109911
patient227/s0450_re,111305,110814,111544,111236,111384
patient227/s0450_re,112745,112269,112986,112693,112831
patient227/s0450_re,114208,113712,114448,114151,114297
patient227/s0450_re,115695,115197,115935,115603,115768
patient227/s0450_re,117143,116662,117382,117082,117213
patient227/s0450_re,118587,118105,119296,118536,118661
patient015/s0047lre,1182,nan,1687,1158,1204
patient015/s0047lre,4330,3804,4836,4301,4462
patient015/s0047lre,6838,6427,7467,6553,6926
patient015/s0047lre,7899,7476,8511,7594,7977
patient015/s0047lre,10642,10111,11686,10614,10756
patient015/s0047lre,14327,13798,14830,14299,14456
patient015/s0047lre,15911,15378,16417,15883,16037
patient015/s0047lre,17013,15907,18016,16941,17097
patient015/s0047lre,18557,18027,19072,18528,18702
patient015/s0047lre,23731,23308,24342,23438,23809
patient015/s0047lre,24888,24358,25396,24860,25018
patient015/s0047lre,28041,27514,28545,28013,28176
patient015/s0047lre,28986,28561,29595,28696,29061
patient015/s0047lre,32240,31713,32745,32213,32375
patient015/s0047lre,35866,35392,36423,35476,35890
patient015/s0047lre,36968,36439,37470,36939,37099
patient015/s0047lre,39066,38541,39579,39037,39139
patient015/s0047lre,42738,42210,43243,42710,42862
patient015/s0047lre,45893,45364,46399,45864,46019
patient015/s0047lre,49574,49047,50080,49545,49694
patient015/s0047lre,53165,52719,53755,52839,53218
patient015/s0047lre,55756,54814,56365,55669,55836
patient015/s0047lre,58994,58470,59494,58966,59133
patient015/s0047lre,62003,61075,62619,61735,62091
patient015/s0047lre,63083,62634,63661,62756,63129
patient015/s0047lre,66280,65757,66781,66253,66414
patient015/s0047lre,67322,66796,67824,67293,67453
patient015/s0047lre,70440,69919,70945,70412,70554
patient015/s0047lre,73460,73038,74082,73174,73534
patient015/s0047lre,77205,76684,77710,77176,77331
patient015/s0047lre,80309,79788,80806,80280,80432
patient015/s0047lre,83341,82896,83919,83031,83387
patient015/s0047lre,86518,85999,87010,86490,86653
patient015/s0047lre,90133,89613,90640,90105,90253
patient015/s0047lre,92724,92202,93214,92697,92855
patient015/s0047lre,96365,95841,96864,96337,96496
patient015/s0047lre,98446,97924,98899,98419,98580
patient015/s0047lre,101034,100512,101535,101006,101164
patient015/s0047lre,104146,103624,104644,104119,104270
patient015/s0047lre,107700,107250,108267,107370,107742
patient015/s0047lre,110884,110362,111384,110855,111014
patient015/s0047lre,114516,113998,115023,114057,114575
patient015/s0057lre,1332,1051,1611,1302,1354
patient015/s0057lre,2797,2490,3390,2768,2819
patient015/s0057lre,4263,3961,4537,4234,4290
patient015/s0057lre,5723,5457,nan,5695,5745
patient015/s0057lre,7181,6733,nan,7151,7202
patient015/s0057lre,8638,8331,8911,8609,8660
patient015/s0057lre,10109,9822,10380,10079,10130
patient015/s0057lre,11579,11293,11859,11550,11601
patient015/s0057lre,13057,12754,13651,13028,13079
patient015/s0057lre,14526,14248,15124,14497,14548
patient015/s0057lre,16002,15744,16596,15972,16019
patient015/s0057lre,17476,17164,18066,17446,17497
patient015/s0057lre,18950,18631,19545,18920,18972
patient015/s0057lre,20429,20122,21033,20400,20451
patient015/s0057lre,21917,21625,22515,21888,21939
patient015/s0057lre,23404,23170,24007,23375,23422
patient015/s0057lre,24884,24616,25486,24855,24906
patient015/s0057lre,26364,26073,26953,26334,26386
patient015/s0057lre,27827,27487,28417,27798,27849
patient015/s0057lre,29293,28977,29569,29263,29315
patient015/s0057lre,30743,30463,nan,30714,30769
patient015/s0057lre,32196,31747,32775,32167,32218
patient015/s0057lre,33635,33342,33910,33606,33660
patient015/s0057lre,35082,34629,35355,35052,35106
patient015/s0057lre,36522,36229,nan,36493,36544
patient015/s0057lre,37955,37629,38229,37925,37981
patient015/s0057lre,39396,39109,39666,39366,39420
patient015/s0057lre,40828,40552,41103,40799,40850
patient015/s0057lre,42256,41956,42532,42226,42278
patient015/s0057lre,43697,43474,44284,43667,43722
patient015/s0057lre,45152,44692,45739,45123,45174
patient015/s0057lre,46610,46305,47202,46580,46632
patient015/s0057lre,48082,47784,48678,48053,48104
patient015/s0057lre,49552,49231,50146,49523,49570
patient015/s0057lre,51019,50733,51615,50990,51041
patient015/s0057lre,52490,52243,52768,52461,52513
patient015/s0057lre,53958,53640,54550,53929,53976
patient015/s0057lre,55424,55104,55696,55395,55446
patient015/s0057lre,56889,56610,57483,56859,56911
patient015/s0057lre,58355,58068,58630,58325,58381
patient015/s0057lre,59823,59604,60409,59795,59845
patient015/s0057lre,61286,60996,61558,61256,61304
patient015/s0057lre,62746,62472,63021,62716,62768
patient015/s0057lre,64204,63916,64474,64174,64226
patient015/s0057lre,65659,65353,66241,65629,65686
patient015/s0057lre,67103,66819,67377,67075,67125
patient015/s0057lre,68550,68284,nan,68521,68572
patient015/s0057lre,69992,69546,70266,69962,70017
patient015/s0057lre,71433,71170,71706,71404,71460
patient015/s0057lre,72879,72666,73152,72850,72901
patient015/s0057lre,74320,74052,74587,74290,74341
patient015/s0057lre,75764,75513,76345,75734,75786
patient015/s0057lre,77213,76929,77488,77184,77235
patient015/s0057lre,78662,78393,79243,78633,78680
patient015/s0057lre,80111,79828,80386,80081,80133
patient015/s0057lre,81564,81244,81837,81535,81586
patient015/s0057lre,83010,82710,83286,82981,83032
patient015/s0057lre,84460,84072,85036,84431,84482
patient015/s0057lre,85905,85638,86484,85875,85927
patient015/s0057lre,87352,86902,87625,87323,87374
patient015/s0057lre,88790,88341,89061,88762,88812
patient015/s0057lre,90222,89781,90495,90193,90244
patient015/s0057lre,91658,91356,91935,91628,91680
patient015/s0057lre,93089,92788,93361,93060,93111
patient015/s0057lre,94517,94239,94788,94488,94539
patient015/s0057lre,95949,95499,96222,95920,95971
patient015/s0057lre,97378,97068,97648,97348,97395
patient015/s0057lre,98798,98359,99069,98769,98820
patient015/s0057lre,100227,99949,100929,100197,100249
patient015/s0057lre,101644,101209,101914,101615,101668
patient015/s0057lre,103065,102625,103767,103036,103087
patient015/s0057lre,104485,104206,105189,104456,104503
patient015/s0057lre,105904,105471,106170,105877,105926
patient015/s0057lre,107330,106888,108034,107301,107352
patient015/s0057lre,108757,108466,109024,108727,108779
patient015/s0057lre,110182,109735,110454,110152,110203
patient015/s0057lre,111610,111310,111880,111580,111632
patient015/s0057lre,113047,112755,113316,113017,113064
patient015/s0152lre,1669,1447,1944,1640,1858
patient015/s0152lre,3441,3105,3715,3412,3622
patient015/s0152lre,5203,4957,5475,5173,5301
patient015/s0152lre,6942,6627,7192,6912,7062
patient015/s0152lre,8728,8491,8998,8699,8885
patient015/s0152lre,9650,9336,nan,9621,9706
patient015/s0152lre,10584,10348,10834,10553,10661
patient015/s0152lre,11496,11182,11766,11466,11605
patient015/s0152lre,13297,12954,13566,13267,13351
patient015/s0152lre,14199,13972,14598,14170,14329
patient015/s0152lre,15109,14868,nan,15079,15272
patient015/s0152lre,16895,16668,17155,16865,17072
patient015/s0152lre,18688,18418,18960,18658,18871
patient015/s0152lre,19610,19357,19878,19579,19791
patient015/s0152lre,21396,21162,21655,21366,21566
patient015/s0152lre,23193,22899,23455,23163,23344
patient015/s0152lre,24106,23728,nan,24076,24244
patient015/s0152lre,25011,24748,25278,24982,25181
patient015/s0152lre,25943,25668,26217,25914,26052
patient015/s0152lre,26884,26625,27145,26854,27016
patient015/s0152lre,27798,27558,28054,27769,27929
patient015/s0152lre,29575,29346,29850,29545,29743
patient015/s0152lre,31345,31104,31600,31315,31514
patient015/s0152lre,33085,32853,33351,33054,33209
patient015/s0152lre,34896,34510,35164,34865,35097
patient015/s0152lre,35802,nan,36075,35773,35913
patient015/s0152lre,36724,36496,nan,36695,36848
patient015/s0152lre,37649,37393,37927,37619,37845
patient015/s0152lre,38571,38329,38845,38542,38604
patient015/s0152lre,39477,39222,39741,39448,39632
patient015/s0152lre,41257,40935,41533,41228,41388
patient015/s0152lre,43053,42808,43317,43024,43198
patient015/s0152lre,43957,43702,44221,43928,44073
patient015/s0152lre,45726,45489,45997,45696,45828
patient015/s0152lre,47518,47284,47779,47488,47688
patient015/s0152lre,48451,48205,48724,48421,48647
patient015/s0152lre,49362,49092,49626,49332,49541
patient015/s0152lre,51152,50917,nan,51122,51194
patient015/s0152lre,52961,52701,53221,52931,53102
patient015/s0152lre,54747,54511,55087,54717,54899
patient015/s0152lre,55651,55410,55921,55621,55819
patient015/s0152lre,56569,56305,56829,56538,56611
patient015/s0152lre,57483,57159,57747,57452,57592
patient015/s0152lre,58409,58179,nan,58379,58571
patient015/s0152lre,59335,59014,59590,59305,59490
patient015/s0152lre,60240,60016,60507,60210,60402
patient015/s0152lre,61976,61728,62238,61945,62102
patient015/s0152lre,63751,63424,64015,63721,63935
patient015/s0152lre,64659,64377,64987,64629,64807
patient015/s0152lre,65569,65251,65850,65539,65765
patient015/s0152lre,66470,66216,66726,66441,66644
patient015/s0152lre,68201,67971,68466,68171,68234
patient015/s0152lre,69911,69687,70177,69882,70078
patient015/s0152lre,71649,71388,71905,71619,71730
patient015/s0152lre,73342,73099,73611,73312,73509
patient015/s0152lre,75046,74797,75307,75016,75088
patient015/s0152lre,76762,76528,77019,76732,76943
patient015/s0152lre,78488,78265,78750,78459,78674
patient015/s0152lre,80239,79959,80503,80211,80419
patient015/s0152lre,81968,81715,nan,81936,82068
patient015/s0152lre,83715,83439,83973,83684,83864
patient015/s0152lre,85460,85186,85726,85429,85501
patient015/s0152lre,87248,87006,87514,87218,87365
patient015/s0152lre,89060,88780,nan,89030,89139
patient015/s0152lre,89969,89721,90237,89939,90037
patient015/s0152lre,91752,91486,92008,91722,91827
patient015/s0152lre,93546,93216,93816,93515,93723
patient015/s0152lre,95328,95091,95602,95298,95479
patient015/s0152lre,96236,96010,96496,96206,96396
patient015/s0152lre,97162,96865,97432,97132,97352
patient015/s0152lre,98113,97827,98382,98083,98250
patient015/s0152lre,99046,98812,99309,99015,99132
patient015/s0152lre,99973,99594,100239,99943,100008
patient015/s0152lre,100916,100654,101190,100886,101091
patient015/s0152lre,101872,101554,102145,101843,101946
patient015/s0152lre,102813,102544,103089,102783,102982
patient015/s0152lre,103743,nan,104010,103712,103777
patient015/s0152lre,104699,104449,104961,104669,104843
patient015/s0152lre,105681,105448,105964,105651,105836
patient015/s0152lre,106631,106303,106908,106600,106792
patient015/s0152lre,107570,107257,107839,107539,107735
patient015/s0152lre,108508,108198,108781,108478,108679
patient015/s0152lre,109448,109219,109704,109418,109637
patient015/s0152lre,111229,110958,111490,111199,111411
patient015/s0152lre,113000,112699,113256,112970,113069
patient015/s0152lre,114736,114472,nan,114707,114928
patient218/s0440_re,2254,1965,2569,2199,2305
patient218/s0440_re,3752,3486,4066,3728,3804
patient218/s0440_re,4869,4566,5181,4848,4923
patient218/s0440_re,5956,5700,6265,5935,6010
patient218/s0440_re,7450,7194,7765,7427,7504
patient218/s0440_re,8915,8656,9232,8893,8968
patient218/s0440_re,10433,10186,10752,10320,10487
patient218/s0440_re,11980,11656,12303,11901,12033
patient218/s0440_re,13116,12886,13423,13095,13170
patient218/s0440_re,14102,13893,14413,14081,14157
patient218/s0440_re,15552,15237,15871,15507,15605
patient218/s0440_re,17028,16771,17349,16995,17080
patient218/s0440_re,18540,18298,18849,18519,18593
patient218/s0440_re,19995,19750,20311,19974,20048
patient218/s0440_re,21491,21253,21804,21458,21546
patient218/s0440_re,22960,22729,23283,22938,23035
patient218/s0440_re,24111,23836,24423,24070,24164
patient218/s0440_re,25142,24897,25453,25100,25197
patient218/s0440_re,26616,26350,26937,26585,26669
patient218/s0440_re,27747,27520,28060,27733,27801
patient218/s0440_re,28818,28591,29125,28735,28871
patient218/s0440_re,29957,29736,30265,29886,30032
patient218/s0440_re,31007,30744,31315,30890,31060
patient218/s0440_re,32468,32199,32797,32419,32521
patient218/s0440_re,33987,33744,34302,33965,34040
patient218/s0440_re,35099,34867,35407,35044,35153
patient218/s0440_re,36167,35836,36483,36146,36244
patient218/s0440_re,37632,37354,37948,37527,37685
patient218/s0440_re,39104,38845,39424,39079,39156
patient218/s0440_re,40634,40333,40951,40597,40686
patient218/s0440_re,41803,41532,42118,41765,41857
patient218/s0440_re,42817,42544,43128,42769,42870
patient218/s0440_re,44273,44031,44592,44235,44322
patient218/s0440_re,45748,45487,46071,45610,45801
patient218/s0440_re,46899,46603,47214,46832,46950
patient218/s0440_re,47966,47755,48280,47902,48019
patient218/s0440_re,49432,49035,49753,49410,49484
patient218/s0440_re,50932,50709,51255,50882,50985
patient218/s0440_re,52065,51840,52371,52042,52117
patient218/s0440_re,53118,52872,53431,53097,53172
patient218/s0440_re,54576,54307,54901,54553,54629
patient218/s0440_re,55757,55527,56065,55736,55811
patient218/s0440_re,56798,56569,57108,56776,56852
patient218/s0440_re,58266,58053,58588,58202,58320
patient218/s0440_re,59782,59499,60102,59760,59834
patient218/s0440_re,61263,61017,61578,61213,61316
patient218/s0440_re,62348,62061,62655,62326,62402
patient218/s0440_re,63445,63223,63756,63421,63497
patient218/s0440_re,64592,64362,64897,64446,64645
patient218/s0440_re,65661,65422,65967,65640,65715
patient218/s0440_re,67171,66951,67486,67134,67224
patient218/s0440_re,68653,68433,68967,68594,68707
patient218/s0440_re,69767,69546,70074,69741,69820
patient218/s0440_re,70822,70437,71133,70783,70877
patient218/s0440_re,72284,71979,72603,72243,72336
patient218/s0440_re,73773,73552,74095,73734,73825
patient218/s0440_re,75342,75082,75655,75295,75393
patient218/s0440_re,76443,76185,76747,76420,76496
patient218/s0440_re,77474,77182,77787,77435,77527
patient218/s0440_re,78949,78703,79269,78929,79002
patient218/s0440_re,80441,80206,80760,80295,80496
patient218/s0440_re,81589,81361,81895,81567,81641
patient218/s0440_re,82657,82386,82974,82598,82711
patient218/s0440_re,83840,83577,84153,83801,83894
patient218/s0440_re,84893,84576,85198,84725,84947
patient218/s0440_re,86372,86118,86689,86352,86425
patient218/s0440_re,87507,87277,87808,87485,87561
patient218/s0440_re,88571,88303,88879,88444,88624
patient218/s0440_re,89699,89491,90006,89569,89750
patient218/s0440_re,90782,90552,91090,90721,90835
patient218/s0440_re,92310,92031,92622,92271,92363
patient218/s0440_re,93862,93550,94180,93845,93916
patient218/s0440_re,94935,94660,95242,94898,94988
patient218/s0440_re,95968,95679,96274,95914,96020
patient218/s0440_re,97424,97188,97740,97382,97476
patient218/s0440_re,98591,98356,98898,98569,98643
patient218/s0440_re,99633,99358,99945,99545,99687
patient218/s0440_re,101102,100809,101421,101081,101156
patient218/s0440_re,102274,102046,102580,102216,102326
patient218/s0440_re,103334,103072,103639,103212,103386
patient218/s0440_re,104842,104548,105153,104683,104894
patient218/s0440_re,106378,106104,106692,106357,106432
patient218/s0440_re,107532,107223,107841,107510,107599
patient218/s0440_re,108523,108217,108831,108449,108577
patient218/s0440_re,110010,109795,110320,109989,110063
patient218/s0440_re,111499,111273,111816,111423,111550
patient218/s0440_re,112618,112384,112920,112595,112669
patient218/s0440_re,113673,113388,113979,113568,113726
patient218/s0440_re,115147,114918,115462,115125,115200
patient218/s0440_re,116702,116442,117015,116664,116757
patient218/s0440_re,117802,117562,118108,117779,117855
patient218/s0440_re,118843,118618,119152,118714,118897
patient012/s0043lre,1493,1203,1770,1376,1524
patient012/s0043lre,2620,2358,2896,2519,2650
patient012/s0043lre,3749,3457,4024,3704,3779
patient012/s0043lre,4865,4593,5140,4762,4894
patient012/s0043lre,5997,5743,6274,5908,6026
patient012/s0043lre,7134,6894,7420,7042,7165
patient012/s0043lre,8265,8002,8544,8171,8294
patient012/s0043lre,9409,9163,9690,9305,9439
patient012/s0043lre,10556,10318,10833,10439,10585
patient012/s0043lre,11683,11418,11959,11631,11713
patient012/s0043lre,12834,12499,13111,12733,12865
patient012/s0043lre,13975,13737,14260,13893,14003
patient012/s0043lre,15104,14839,15385,15002,15134
patient012/s0043lre,16240,15949,16521,16133,16270
patient012/s0043lre,17366,17160,17649,17280,17395
patient012/s0043lre,18498,18231,18780,18402,18528
patient012/s0043lre,19626,19356,19911,19532,19656
patient012/s0043lre,20751,20493,21036,20639,20779
patient012/s0043lre,21899,21649,22180,21805,21929
patient012/s0043lre,23084,22836,23361,23019,23113
patient012/s0043lre,24259,24012,24538,24169,24289
patient012/s0043lre,25418,25155,25696,25316,25448
patient012/s0043lre,26624,26349,26899,26529,26654
patient012/s0043lre,27784,27495,28062,27673,27814
patient012/s0043lre,28949,28644,29226,28856,28980
patient012/s0043lre,30110,29820,30385,30021,30138
patient012/s0043lre,31265,30957,31548,31150,31295
patient012/s0043lre,32443,32202,32719,32334,32474
patient012/s0043lre,33617,33400,33897,33512,33644
patient012/s0043lre,34783,34473,35061,34683,34813
patient012/s0043lre,35969,35719,36246,35891,36000
patient012/s0043lre,37140,36895,37420,37065,37169
patient012/s0043lre,38295,38034,38574,38194,38325
patient012/s0043lre,39455,39178,39730,39377,39485
patient012/s0043lre,40591,40294,40870,40504,40620
patient012/s0043lre,41745,41490,42022,41661,41775
patient012/s0043lre,42896,42616,43167,42798,42924
patient012/s0043lre,44029,43744,44308,43928,44059
patient012/s0043lre,45179,44896,45456,45087,45209
patient012/s0043lre,46319,46113,46605,46276,46348
patient012/s0043lre,47455,47187,47736,47337,47485
patient012/s0043lre,48613,48337,48889,48532,48643
patient012/s0043lre,49760,49546,50041,49658,49788
patient012/s0043lre,50918,50656,51193,50829,50948
patient012/s0043lre,52076,51832,52359,52010,52106
patient012/s0043lre,53228,52966,53508,53136,53258
patient012/s0043lre,54399,54156,54676,54287,54429
patient012/s0043lre,55587,55377,55861,55508,55616
patient012/s0043lre,56746,56476,57024,56667,56776
patient012/s0043lre,57932,57675,58209,57859,57963
patient012/s0043lre,59115,58861,59391,59049,59142
patient012/s0043lre,60304,60055,60580,60247,60334
patient012/s0043lre,61509,61242,61788,61403,61539
patient012/s0043lre,62696,62491,62973,62600,62723
patient012/s0043lre,63896,63639,64173,63824,63927
patient012/s0043lre,65105,64827,65382,65012,65135
patient012/s0043lre,66295,66054,66573,66187,66326
patient012/s0043lre,67508,67237,67785,67430,67538
patient012/s0043lre,68720,68481,69004,68623,68750
patient012/s0043lre,69906,69625,70185,69821,69936
patient012/s0043lre,71094,70819,71371,71013,71125
patient012/s0043lre,72276,72033,72556,72184,72304
patient012/s0043lre,73461,73209,73740,73368,73491
patient012/s0043lre,74655,74389,74937,74538,74684
patient012/s0043lre,75827,75621,76108,75726,75856
patient012/s0043lre,77023,76741,77301,76910,77054
patient012/s0043lre,78223,78010,78499,78142,78252
patient012/s0043lre,79413,79152,79693,79328,79444
patient012/s0043lre,80607,80299,80889,80518,80637
patient012/s0043lre,81778,81541,82062,81689,81807
patient012/s0043lre,82935,82671,83215,82845,82965
patient012/s0043lre,84109,83842,84384,84069,84139
patient012/s0043lre,85251,84994,85531,85141,85278
patient012/s0043lre,86393,86124,86674,86349,86424
patient012/s0043lre,87503,87247,87786,87457,87534
patient012/s0043lre,88598,88348,88878,88488,88628
patient012/s0043lre,89691,89416,89982,89670,89719
patient012/s0043lre,90777,90511,91062,90671,90808
patient012/s0043lre,91870,91621,92155,91812,91901
patient012/s0043lre,92952,92692,93240,92864,92980
patient012/s0043lre,94042,93786,94321,93941,94072
patient012/s0043lre,95128,94924,95412,95021,95158
patient012/s0043lre,96203,95964,96483,96113,96232
patient012/s0043lre,97287,97020,97566,97190,97318
patient012/s0043lre,98386,98181,98664,98302,98415
patient012/s0043lre,99464,99205,99739,99354,99493
patient012/s0043lre,100558,100309,100839,100487,100588
patient012/s0043lre,101653,101392,101932,101587,101682
patient012/s0043lre,102734,102453,103014,102659,102764
patient012/s0043lre,103830,103531,104109,103775,103861
patient012/s0043lre,104939,104686,105219,104888,104967
patient012/s0043lre,106033,105772,106312,105951,106063
patient012/s0043lre,107150,106875,107425,107042,107180
patient012/s0043lre,108260,108004,108543,108187,108288
patient012/s0043lre,109375,109116,109654,109267,109405
patient012/s0043lre,110510,110263,110785,110471,110540
patient012/s0043lre,111629,111355,111910,111525,111658
patient012/s0043lre,112768,112513,113047,112728,112798
patient012/s0043lre,113916,113598,114196,113804,113945
patient012/s0043lre,115046,114840,nan,114974,115074
patient012/s0050lre,1927,1683,nan,1813,1957
patient012/s0050lre,2883,2583,nan,2786,2913
patient012/s0050lre,3840,3568,4038,3749,3870
patient012/s0050lre,4785,4501,nan,4703,4815
patient012/s0050lre,5734,5425,nan,5616,5764
patient012/s0050lre,6662,nan,nan,6617,6692
patient012/s0050lre,7583,7287,nan,7464,7614
patient012/s0050lre,8498,8224,nan,8423,8526
patient012/s0050lre,9413,9159,nan,9336,9443
patient012/s0050lre,10334,10038,nan,10228,10363
patient012/s0050lre,11258,11008,nan,11184,11291
patient012/s0050lre,12186,11908,nan,12153,12222
patient012/s0050lre,13120,12850,nan,13093,13150
patient012/s0050lre,14058,13806,14455,13995,14088
patient012/s0050lre,14994,14745,15433,14958,15024
patient012/s0050lre,15926,15669,nan,15820,15955
patient012/s0050lre,16862,16581,nan,16749,16892
patient012/s0050lre,17792,17566,nan,17677,17823
patient012/s0050lre,18718,18433,nan,18616,18749
patient012/s0050lre,19659,19381,nan,19580,19689
patient012/s0050lre,20597,20349,nan,20512,20625
patient012/s0050lre,21532,21280,nan,21414,21561
patient012/s0050lre,22479,22203,nan,22381,22509
patient012/s0050lre,23426,23170,nan,23324,23456
patient012/s0050lre,24372,24118,nan,24256,24401
patient012/s0050lre,25328,25045,nan,25215,25358
patient012/s0050lre,26282,26017,26641,26201,26311
patient012/s0050lre,27223,26931,nan,27113,27254
patient012/s0050lre,28176,27919,28539,28113,28207
patient012/s0050lre,29126,28882,nan,29066,29155
patient012/s0050lre,30068,29779,nan,29954,30098
patient012/s0050lre,31018,30759,nan,30932,31048
patient012/s0050lre,31966,31684,nan,31874,31996
patient012/s0050lre,32905,32698,nan,32816,32935
patient012/s0050lre,33856,33579,nan,33779,33887
patient012/s0050lre,34809,34600,35008,34742,34839
patient012/s0050lre,35752,35511,nan,35670,35781
patient012/s0050lre,36697,36394,nan,36591,36728
patient012/s0050lre,37649,37381,nan,37581,37680
patient012/s0050lre,38588,38380,nan,38510,38618
patient012/s0050lre,39531,39256,nan,39436,39562
patient012/s0050lre,40473,40153,40837,40360,40503
patient012/s0050lre,41404,41122,nan,41309,41438
patient012/s0050lre,42341,42051,nan,42227,42371
patient012/s0050lre,43286,43033,nan,43177,43316
patient012/s0050lre,44217,44014,nan,44129,44254
patient012/s0050lre,45153,44854,nan,45035,45183
patient012/s0050lre,46102,45850,nan,45983,46133
patient012/s0050lre,47039,46771,nan,46919,47073
patient012/s0050lre,47983,47676,nan,47893,48013
patient012/s0050lre,48935,48646,nan,48857,48966
patient012/s0050lre,49881,49668,nan,49768,49911
patient012/s0050lre,50834,50566,nan,50739,50864
patient012/s0050lre,51788,51445,52167,51711,51821
patient012/s0050lre,52739,52488,nan,52627,52775
patient012/s0050lre,53694,53434,nan,53584,53724
patient012/s0050lre,54654,54367,nan,54551,54684
patient012/s0050lre,55606,55356,55962,55487,55636
patient012/s0050lre,56561,56194,nan,56456,56591
patient012/s0050lre,57534,57157,nan,57418,57565
patient012/s0050lre,58499,58257,nan,58379,58533
patient012/s0050lre,59463,59184,nan,59396,59493
patient012/s0050lre,60438,60175,nan,60324,60468
patient012/s0050lre,61407,61143,61605,61290,61444
patient012/s0050lre,62376,62107,nan,62280,62406
patient012/s0050lre,63353,63085,63795,63307,63383
patient012/s0050lre,64317,64072,64518,64214,64348
patient012/s0050lre,65286,64971,nan,65165,65315
patient012/s0050lre,66256,65970,nan,66136,66287
patient012/s0050lre,67226,67014,nan,67127,67263
patient012/s0050lre,68195,67936,nan,68126,68223
patient012/s0050lre,69168,68902,69594,69111,69198
patient012/s0050lre,70135,69864,nan,70066,70169
patient012/s0050lre,71098,70825,nan,70979,71128
patient012/s0050lre,72063,71800,72466,71949,72091
patient012/s0050lre,73017,72808,73213,72901,73047
patient012/s0050lre,73980,73720,nan,73864,74010
