PATIENT_NAME,ECG_P_Onsets,ECG_P_Peaks,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Onsets,ECG_T_Peaks,ECG_T_Offsets
patient004/s0020are,58138.347445984764,58169.12738853503,58234.958744431955,57919.53164556962,57890.34810126582,58030.81173537114,57993.16455696202,57684.27611351991,57833.5923566879,57907.38360085308
patient097/s0394lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient097/s0384lre,57383.64014246805,57428.30936517913,57464.457510999375,57176.86331679074,57147.02092638544,57286.948387096774,57233.018867924526,56927.29103584621,57097.48443327048,57161.94527550807
patient097/s0382lre,58698.8616554054,58798.22522522523,58836.807461307464,58426.78578995157,58381.0948520897,58519.75873776187,58491.16393442623,58145.9835989836,58242.56237006237,58321.878031878034
patient097/s0380lre,58234.56663767054,58291.39641516345,58330.26270488051,57987.48161698284,57998.11989664083,58253.87379190577,58234.96026490066,57920.02403846154,58062.38760186796,58124.65796679033
patient109/s0349lre,59089.27223755092,59145.161772434636,59183.678984364735,58776.56603102779,58752.364112658994,58860.33058166116,58910.4,58507.47569379772,58581.6805281829,58623.982849071836
patient102/s0416lre,57956.461616161614,58011.4191919192,58059.426262626264,57733.15064670447,57725.56167130025,57859.71819631467,57822.70857142857,57507.65958428309,57618.556565656574,57760.493902884264
patient284/s0543_re,60636.30263157895,60704.17763157895,60734.19078947369,60446.535947712415,60419.856209150326,60538.62091503268,60512.30065359477,60233.03289473684,60332.16447368421,60403.99342105263
patient284/s0552_re,60190.48936170213,60257.475177304965,60288.16312056738,59972.83802816901,59946.00212224109,60072.88417288557,60040.58450704225,59724.936170212764,59824.936170212764,59892.37588652482
patient284/s0551_re,60547.08666666667,60610.66,60641.44,60339.41721854304,60311.834437086094,60420.24729022044,60406.87417218543,60114.46666666667,60214.46666666667,60283.833333333336
patient078/s0259lre,58096.84705882353,58102.4149659864,58119.61332237486,57825.774542305786,57778.95007501876,58059.59527425135,58015.56081081081,57671.894544390816,57828.19047619047,57826.19720869239
patient078/s0317lre,57350.01937680021,57395.5796178344,57455.67321288295,57383.04355484941,57366.021518627356,57474.582278481015,57433.5253164557,57125.88654394608,57199.388535031845,57302.24132745657
patient078/s0262lre,58036.16748855231,58084.72027972028,58119.61332237486,57846.24129912991,57778.95007501876,58065.80555555556,58028.47916666666,57671.894544390816,57837.07692307692,57826.19720869239
patient078/s0255lre,57226.624825691084,57239.79591836735,57334.08438602248,57022.17431972789,56984.6248433584,57292.55555555556,57254.32323232323,56865.653203062044,56803.4693877551,56993.847569566744
patient264/s0500_re,60114.35772357724,60182.52032520325,60224.11382113821,59935.57258064516,59902.95161290323,60072.88417288557,60005.40322580645,59675.69918699187,59775.69918699187,59845.47967479675
patient279/s0532_re,60835.29347826087,60889.15217391304,60922.5,60336.83870967742,60373.59445100354,60507.8109114136,60499.76151121606,59975.41304347826,60075.41304347826,60166.47826086957
patient279/s0534_re,61473.16483516483,61527.62637362637,61560.83516483517,60963.358695652176,60949.989130434784,60960.34063461993,61036.52173913043,60597.26373626374,60697.26373626374,60786.56043956044
patient279/s0531_re,61113.96078431373,61168.45098039216,61202.0,60665.94174757282,60650.30097087379,60777.33980582524,60733.94174757282,60343.76470588235,60443.76470588235,60525.45098039216
patient279/s0533_re,61091.3595505618,61144.40449438202,61177.31460674157,60565.77777777778,60550.05555555556,60669.15555555555,60633.71111111111,60202.168539325845,60302.168539325845,60388.6404494382
patient052/s0190lre,57815.87248322148,57875.81879194631,57909.42953020134,57617.18666666667,57594.9,57921.06450634898,57937.18,57521.47171060552,57613.53020134229,57716.55538637229
patient064/s0220lre,57860.0350877193,57921.9649122807,57967.95321637427,57673.33139534884,57630.62043251305,57796.5523255814,57754.482558139534,57529.0701754386,57622.15789473684,57683.33574561404
patient254/s0489_re,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient101/s0400lre,57905.58490566038,57967.127358490565,57998.47169811321,57773.62441314554,57778.95007501876,57990.41864658859,58017.80751173709,57894.1179245283,57964.82547169811,58012.33490566038
patient101/s0410lre,57038.96823821339,57098.45105459057,57140.51060794045,49503.7975190076,56841.51473809524,57194.94422043011,51110.389558232935,56500.26693548387,56599.62748138957,56682.47754342432
patient101/s0414lre,58074.75882352941,58150.34117647059,58182.31176470588,57890.461988304094,57888.06856898274,58016.25785093847,58023.90285516924,58063.69411764706,58150.34117647059,58196.09411764706
patient027/s0151lre,58671.05521472393,58727.7055214724,58759.18404907976,58497.689024390245,58675.8455646338,58683.06897463002,58571.44512195122,58614.76687116565,58687.65030674847,58736.0490797546
patient027/s0089lre,58531.241391941396,58588.14473443224,58624.408882783886,58264.769230769234,58248.11282051282,58356.70888036242,58332.02564102564,58161.77087912088,58241.68369963369,58309.34056776557
patient027/s0096lre,57794.84722222222,57851.351851851854,57881.12962962963,57679.17050691245,57620.957350075776,57787.88113516639,57769.43778801843,57557.224061032866,57643.4537037037,57723.51388888889
patient185/s0336lre,58053.98319327731,58105.91596638656,58141.991596638654,57737.275,57734.10557184751,57855.13946400132,57882.340017825314,57527.62184873949,57627.62184873949,57700.28571428572
patient164/s0024are,19643.677243589744,19691.022756410253,19729.070192307692,19360.05128205128,19291.914092664094,19450.673029556652,19525.74358974359,19406.383012820515,19482.177884615383,19540.78237179487
patient164/s0024bre,19643.677243589744,19691.022756410253,19729.070192307692,19314.30769230769,19291.914092664094,19474.383241758245,19539.666666666668,19406.383012820515,19482.177884615383,19540.78237179487
patient253/s0488_re,59508.55137540453,59569.11239731143,59602.26390963406,59212.53435815776,59222.51,59342.234106153395,59314.43814306712,58956.13094349016,59054.304891710235,59122.84777196914
patient204/s0425_re,60180.63304473304,60254.43653198653,60292.35156325156,60181.14226755218,60156.773410815935,60420.24729022044,60293.55789473684,59953.930038480044,60053.930038480044,60125.29855699856
patient219/s0441_re,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient009/s0035_re,16545.0,16610.93181818182,16642.590909090908,16353.444444444443,16329.466666666667,19093.714530892452,16557.31111111111,15771.815233785823,16238.181818181818,15938.575791855204
patient142/s0351lre,57364.948472001415,57463.294762641905,57452.990266737324,57207.0243902439,57163.70503900485,57289.32126291377,57281.2163441134,57015.416282844235,57092.895209838316,57249.85225225225
patient058/s0216lre,57415.81045751634,57475.39215686275,57521.856209150326,57206.42207792208,57210.36380952381,57331.508719646794,57308.7987012987,57056.986928104576,57155.856209150326,57227.66666666666
patient287/s0548_re,60111.783270911365,60179.50837988827,60225.15909280066,60042.92114662515,60111.534484883334,60331.0603654485,60268.41666666666,59972.799146899706,60176.86592178771,60121.53579304495
patient287/s0547_re,59977.68583545377,60059.85483870968,60095.160079163135,60062.85490196079,60111.534484883334,60113.90673449612,60157.52941176471,59996.87634408602,60055.10752688172,60121.53579304495
patient166/s0275lre,57432.11403508772,57523.60526315789,57572.5701754386,57706.45217391304,57679.53043478261,57818.30434782609,57778.44347826087,57423.60526315789,57523.60526315789,57599.04385964912
patient216/s0438_re,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient021/s0097lre,58505.24803149606,58513.52503456152,58559.116367133494,58205.07344632768,58185.29119318182,58356.70888036242,58293.22598870056,57980.323585983046,58079.61492456573,58151.98335036365
patient021/s0065lre,57770.843971631206,57824.52482269504,57856.68794326241,57514.83098591549,57487.41549295775,57643.92091936112,57606.48591549296,57323.58865248227,57416.94326241135,57487.52482269504
patient021/s0073lre,57304.03363661429,57369.94192859112,57409.20426661152,57268.13501694915,57229.475822102424,57359.34205298013,57357.30337078652,56999.482699200445,57099.41011855528,57166.39092224979
patient174/s0325lre,57415.43846153846,57497.61538461538,57540.876923076925,57626.38167938931,57599.3893129771,57765.87190485475,57689.29007633588,57397.61538461538,57497.61538461538,57564.4
patient174/s0300lre,57662.91095890411,57741.80136986302,57783.49315068493,57817.63265306123,57789.89115646258,57920.727891156464,57881.537414965984,57615.86301369863,57715.86301369863,57779.30136986302
patient174/s0324lre,57651.424,57731.016,57773.12,57877.63492063492,57849.73015873016,57997.1708762713,57941.5,57631.016,57731.016,57796.304
patient260/s0496_re,61402.26229508197,61455.83606557377,61495.63934426229,61038.10569105691,60957.8573970758,61143.34146341463,61105.634146341465,60737.99180327869,60837.96721311475,60902.688524590165
patient128/s0182_re,19952.9,20006.7,20048.525,19337.179487179485,19588.024390243903,19747.463414634145,19720.048780487807,19415.200947603123,19351.65,19536.631235431236
patient228/s0451_re,60562.70338983051,60592.720338983054,60630.74248120301,60168.24369747899,60236.53020611229,60420.24729022044,60352.64705882353,59959.42194625909,60042.86440677966,60180.180888866
patient197/s0350lre,57343.71910521714,57382.20485372341,57446.81215389099,57026.70733977802,56991.08923169994,57194.94422043011,57131.20472440945,56739.55792771786,56778.28277925532,56923.83635794744
patient197/s0403lre,58666.18803418803,58723.76068376069,58785.74358974359,58435.7240777667,58409.4389332004,58519.75873776187,58598.28996344301,58198.69230769231,58283.13675213675,58344.74358974359
patient242/s0471_re,60250.44055944056,60294.195804195806,60328.62237762238,59972.194444444445,59946.00212224109,60084.10416666666,60033.98611111111,59743.47552447552,59843.44755244755,59907.04895104895
patient024/s0086lre,57599.16129032258,57644.79838709677,57679.31451612903,57269.448,57243.752838537315,57424.84356813165,57349.056,57009.43548387097,57109.29032258064,57174.217741935485
patient024/s0084lre,58139.15,58189.458333333336,58226.225,57801.79338842975,57671.14800443459,57908.40495867769,57870.19834710744,57524.325,57623.71666666667,57690.85833333333
patient024/s0083lre,57745.04958677686,57804.90082644628,57843.35537190083,57410.7131147541,57358.48905109489,57517.04918032787,57485.45081967213,57143.86776859504,57243.86776859504,57312.65289256199
patient024/s0094lre,58422.61486486487,58474.33108108108,58513.25,58161.85906040268,58185.29119318182,58298.28576501623,58243.68456375839,57984.0,58084.0,58155.06756756757
patient099/s0387lre,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient099/s0388lre,58396.56050955414,58450.66242038216,58478.68152866242,58113.490147783246,58185.29119318182,58245.283475145545,58199.81532691447,57960.50434782609,58035.19108280255,58113.27388535032
patient099/s0397lre,58498.69047619047,58554.30952380953,58585.97619047619,58197.31522253788,58185.29119318182,58271.03677262931,58237.88213900862,57939.355492864255,57988.59523809524,58066.88888888889
patient099/s0419lre,57540.96666666667,57593.36666666667,57623.90666666667,57294.78145695364,57306.446233766226,57424.84356813165,57393.71523178808,57079.14666666667,57179.02,57267.44666666666
patient212/s0434_re,60525.44993239817,60499.638420920295,60541.88739418323,60450.86948650428,60423.91458196181,60717.88246527778,60666.09032258065,60246.13592191989,60210.67500628615,60416.81684130472
patient116/s0302lre,58712.99942249942,58772.333333333336,58822.2905982906,58433.33050847457,58410.96610169492,58517.44915254237,58490.17796610169,58169.94017094017,58269.02564102564,58334.51282051282
patient105/s0303lre,58533.05405405405,58605.30405405405,58780.496608481175,58528.161073825504,58481.14765100672,58638.08053691275,58609.10738255033,58339.14864864865,58439.14864864865,58512.10135135135
patient054/s0195lre,58088.34117647059,58147.09411764706,58200.30392156863,57912.40935672515,57878.818713450295,58016.04678362573,57978.24561403509,57663.4262983039,57785.49411764706,57832.848749781435
patient054/s0218lre,58799.725190839694,58856.69465648855,58902.63358778626,58531.49242424242,58575.52536231883,58631.454545454544,58602.780303030304,58304.69465648855,58396.36641221374,58470.725190839694
patient054/s0197lre,58150.420382165605,58203.16560509554,58249.65605095541,57944.082278481015,57911.44936708861,58085.94176215374,58035.9095505618,57661.07769491525,57838.13375796178,57907.38360085308
patient054/s0192lre,58530.08917197452,58586.229299363054,58641.75796178344,58364.22784810127,58333.38607594937,58513.63071321482,58478.50632911392,58207.1847133758,58305.44585987261,58380.15286624204
patient261/s0497_re,60441.3791532358,60496.61681750558,60536.83644309447,60133.289505796216,60104.28007931665,60245.39386684907,60214.13492063492,59791.588457723774,59868.6113935036,60062.4644993354
patient225/s0448_re,60347.220551303515,60225.49836530079,60441.32369648409,60059.841339927,60031.99275874249,60245.39386684907,60178.0625,59935.74222609706,60014.857817494914,59963.22342143028
patient205/s0426_re,59957.57777777778,60038.91851851852,60085.014814814815,60190.42647058824,60168.56617647059,60102.68674071503,60272.42647058824,59938.91851851852,60038.91851851852,60112.15555555555
patient062/s0212lre,59050.2961393597,59108.42312348668,59154.9056362658,58766.90322580645,58752.364112658994,58874.32258064516,58857.81935483871,58405.12785266249,58565.15570352435,58623.982849071836
patient153/s0391lre,57226.624825691084,57289.64375,57334.08438602248,57022.17431972789,56988.029864532014,57201.09027777778,57120.416149068325,56865.653203062044,56828.11875,56993.847569566744
patient227/s0450_re,60941.98148148148,61003.29012345679,61044.364197530864,60680.095503066084,60569.61448958282,60864.885376756065,60851.079754601225,60562.864197530864,60662.77777777778,60727.01851851852
patient129/s0189_re,56464.82327253089,56051.479397587376,56541.840191719915,55546.87785118314,55319.1732200393,54552.34602862172,54025.89313470059,56185.86857923154,55696.62357198906,56245.07419816175
patient083/s0268lre,57276.84246575343,57329.47260273973,57379.29452054795,57041.6462585034,57076.66610923258,57216.284274193546,57168.19727891157,56848.732876712325,56947.15068493151,57073.79986365407
patient083/s0290lre,59058.20338983051,59113.70338983051,59145.65254237288,58715.924369747896,58752.364112658994,58860.33058166116,58873.19327731092,58475.83050847457,58575.77966101695,58646.08474576271
patient083/s0286lre,58630.650406504064,58684.88617886179,58731.756097560974,58312.25,58357.34631039916,58500.03405172414,58468.645161290326,58051.796457474426,58191.13821138212,58262.46341463415
patient083/s0272lre,57716.77248677249,57767.0582010582,57803.97883597884,57547.78947368421,57533.46633986928,57643.378088235295,57669.071866925064,57406.54497354497,57500.87830687831,57560.22751322751
patient176/s0188_re,19106.905673758865,19127.239592969476,19201.99054373522,18888.912280701756,18852.9861379755,19188.535635964916,19100.0,18975.907077724707,18922.462997224793,18969.125768321515
patient175/s0009_re,19349.744680851065,19406.957446808512,19442.42553191489,19101.666666666668,19041.935606060604,19216.229166666668,19175.375,18903.44680851064,18997.40425531915,19067.340425531915
patient065/s0221lre,57655.0,57720.72222222222,57789.145454545454,57482.60072899581,57489.34905591866,57614.95379629629,57581.09664661928,57306.532539682536,57412.1746031746,57485.78376623377
patient065/s0229lre,58189.29104477612,58251.76119402985,58290.14179104478,57911.7925925926,57881.84444444445,58114.96936383478,58226.229629629626,57619.873035826524,57761.07462686567,57789.457259585164
patient065/s0282lre,57425.19417475728,57500.23300970874,57537.90291262136,57039.29807692308,57009.15384615384,57310.66131667721,57196.49038461538,56755.55970641597,56838.98058252427,56917.12621359223
patient065/s0226lre,58174.32608695652,58237.19565217391,58273.76811594203,57908.424460431655,57881.92805755396,58085.94176215374,58114.13669064748,57661.07769491525,57723.188405797104,57827.46277966102
patient233/s0458_re,60343.11304347826,60422.6695652174,60453.97391304348,60050.137931034486,60004.25740822645,60113.90673449612,60130.41471325372,59744.2347826087,59843.68695652174,59923.6695652174
patient233/s0483_re,59970.735537190085,60054.01652892562,60092.52892561984,59887.58196721312,59865.91803278688,59994.04918032787,59958.60655737705,59601.90082644628,59701.90082644628,59780.8347107438
patient233/s0459_re,62297.85123966942,62375.42148760331,62407.71900826446,61120.58177114829,61063.42431728351,62133.22950819672,61071.07794273595,61762.19834710744,61860.80991735537,61940.27272727273
patient233/s0482_re,60801.61417322834,60883.16535433071,60918.92125984252,60654.765625,60635.640625,60766.609375,60728.2578125,60395.18897637796,60495.11811023622,60573.76377952756
patient233/s0457_re,60872.93859649123,60950.93859649123,60981.12280701754,60533.57391304348,60511.06086956522,60717.88246527778,60603.93043478261,60223.32456140351,60323.21929824561,60402.08771929824
patient138/s0005_re,19369.308771929824,19370.717368421054,19411.14789473684,19245.093333333334,19245.00754352031,19429.399698340872,19403.824561403508,19135.92543859649,19225.02105263158,19293.747368421053
patient150/s0287lre,57340.765625,57423.1953125,57467.296875,57597.53844711178,57489.37209302326,57455.4470875659,57638.17829457364,57284.375,57382.453125,57449.7734375
patient111/s0203_re,19537.53202774378,19370.717368421054,19411.14789473684,19246.52,19243.54090909091,19429.399698340872,19380.26,19135.92543859649,19225.02105263158,19293.747368421053
patient171/s0364lre,57358.97714913804,57340.40689655172,57467.08284160592,57358.39726027397,57366.021518627356,57473.547632747,57471.58219178082,57181.84827586207,57281.84827586207,57365.31724137931
patient159/s0390lre,57977.46428571428,58031.583333333336,58074.267857142855,57767.96449704142,57662.56779053084,57877.49302626711,57892.74556213018,57614.95238095238,57703.07738095238,57792.517857142855
patient002/s0015lre,57801.87333333334,57853.38,57889.44,57545.39072847682,57483.22516556292,57668.90066225165,57618.11920529801,57311.65244482496,57366.02,57469.83893369175
patient240/s0468_re,60403.68831168831,60469.954545454544,60499.68831168831,60171.85806451613,60144.98064516129,60420.24729022044,60280.70967741936,59968.94155844156,60068.94155844156,60138.44155844156
patient247/s0479_re,58077.03105590062,58124.08074534161,58152.8447204969,57852.456790123455,57832.273642404936,57986.70366392171,57930.67283950617,57671.894544390816,57755.62732919255,57840.40332016967
patient022/s0066lre,57886.216,57942.704,57984.816,57591.34920634921,57562.97619047619,57682.03968253968,57647.119047619046,57296.728,57389.912,57471.592
patient022/s0074lre,44099.55319148936,44158.02127659575,44200.07446808511,43800.14736842105,43770.4,43892.36842105263,43856.27368421053,43487.47872340425,43576.34042553192,43647.81914893617
patient022/s0149lre,59120.34108527132,59176.62015503876,59221.70542635659,58837.20769230769,58804.838461538464,58860.33058166116,58891.07692307692,58435.80211555115,58587.58139534884,58623.982849071836
patient155/s0301lre,57882.4527027027,57938.56081081081,57991.18243243243,57656.409395973154,57615.950953113905,57771.20134228188,57733.10738255033,57478.80405405405,57578.41891891892,57644.43243243243
patient223/s0445_re,60176.36428571429,60242.3,60275.56428571429,59882.70921985816,59846.27495175076,60072.88417288557,59975.67375886525,59657.014285714286,59752.78571428572,59824.07142857143
patient223/s0446_re,60226.357142857145,60294.93571428571,60328.19285714286,59938.31205673759,59946.00212224109,60072.88417288557,60029.13475177305,59706.607142857145,59804.87142857143,59874.88571428572
patient092/s0362lre,57846.16197183099,57901.21830985916,57939.54929577465,57572.181818181816,57561.89305391578,57671.36784126984,57688.85314685314,57324.036,57396.288732394365,57500.772
patient092/s0411lre,58077.28571428572,58127.49206349206,58165.03174603175,57752.433070866144,57742.59090909091,57898.813166361746,57838.90551181103,57535.51587301587,57635.49206349206,57713.75396825397
patient092/s0358lre,57926.0,57976.832167832166,58014.804195804194,57649.625,57615.925705400485,57767.99305555556,57737.24305555556,57456.19989936745,57573.55944055944,57668.030334015
patient092/s0354lre,57912.94117647059,57963.35947712418,58001.66013071896,57670.61688311688,57612.01743521342,57796.49652777778,57761.50123918174,57494.72439544808,57587.11111111111,57659.88888888889
patient117/s0292lre,58404.55579844551,58497.16030534351,58550.6106870229,58202.32575757576,58174.86363636364,58298.28576501623,58268.45527622948,57941.70229007633,58041.70229007633,58114.5572519084
patient117/s0291lre,57648.046875,57684.234375,57743.875,57384.16279069767,57359.22480620155,57476.40800865801,57456.651162790695,57119.015625,57219.0078125,57290.0625
patient152/s0004_re,19601.04651162791,19629.74418604651,19655.837209302324,19246.204545454544,19204.045454545456,19355.227272727272,19332.0,18990.39950980392,18947.25581395349,19249.669590643276
patient221/s0443_re,60188.020676691725,60259.325,60291.56259398496,59935.28333333333,59946.00212224109,60072.88417288557,60061.583333333336,59701.7734962406,59800.890601503765,59871.35639097745
patient070/s0235lre,58386.49673202614,58441.52941176471,58496.25490196078,58159.92857142857,58144.62949260042,58272.53246753247,58223.81168831169,57935.875,58014.50326797386,58094.24836601308
patient103/s0332lre,58403.2,58446.62,58483.14,58113.490147783246,58144.62949260042,58245.283475145545,58187.82178217822,57887.75,57932.13,58090.36766126741
patient290/s0553_re,59783.68595041322,59856.289256198346,59893.49586776859,59527.606566037735,59566.67819047619,59763.398148148146,59636.598360655735,59287.05785123967,59384.19834710744,59461.25619834711
patient182/s0308lre,57357.455882352944,57415.044117647056,57454.81617647059,57081.34306569343,57113.61320850202,57308.28844086021,57181.299270073,56882.57352941176,56982.57352941176,57058.970588235294
patient269/s0508_re,61451.77281420765,61507.92219945355,61543.99050546448,61188.3813559322,61097.20927962517,61050.13369467028,61301.46610169492,60844.50423497268,60944.475273224045,61013.97342896175
patient274/s0512_re,60540.21100917431,60602.09174311927,60644.22018348624,60162.545454545456,60133.62727272727,60215.59129901961,60221.15454545455,59708.56880733945,59762.61467889908,60013.7320783551
patient020/s0062lre,57361.77385661585,57397.11382113821,57465.732832570335,57162.89140436877,57130.29732112143,57322.9435483871,57284.3064516129,56950.80692475221,56986.227642276426,57122.79443530824
patient020/s0069lre,58308.463917525776,58368.113402061856,58402.50515463918,57871.051020408166,57828.47141387117,58059.59527425135,57967.34693877551,57581.37160269513,57597.41237113402,57689.16494845361
